user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
isaac-brooks-fishman		Brooks Fishman	isaac.brooks-fishman	https://registry.theknot.com/eliana-fishman-isaac-brooks-december-2018/27341411	Isaac Brooks Fishman is a volunteer with IfNotNow.				
maia-brown		Brown	maia.brown		Maia Brown (she/her) is a Yiddish musician and educator on unceded Duwamish, Coast Salish land in Seattle, Washington with a background in history and fine art. One member of the anti-facist Yiddish trio, Brivele and elementary art teacher, Maia wears different hats as a cultural worker and organizer in communities combining research, direct action, art, education, and celebration in the work of getting free.				
mary-actual-bruch		Bruch	mary-actual.bruch		&nbsp;				
david-bueno-de-mesquita		Bueno de Mesquita	david.bueno-de-mesquita		"Rabbi David Bueno de Mesquita, B.A., trained by Moses Gaster, was a senior hazzan of the Bevis Marks Congregation. Unfortunately, we know little else. If you know more, please <a href=""/contact/"">contact us</a>."				
abraham-burstein		Burstein	abraham.burstein	https://www.encyclopedia.com/religion/encyclopedias-almanacs-transcripts-and-maps/burstein-abraham	Rabbi Abraham Burstein (1893–1966) was a rabbi, author, and editor in the United States. Born in Cleveland, Burstein was ordained at the Jewish Theological Seminary in 1917. After serving in graves registration for the Jewish Welfare Board in France, he held pulpits in New England and in New York (at Inwood Hebrew Congregation). He was chaplain for the New York Department of Correction from 1934 until his death, chaplain of the Jewish Theatrical Guild from 1924, and executive secretary of the Jewish Academy of Arts and Sciences. Burstein was editor of the Jewish Outlook, editor and researcher of many Jewish scholarly works, and a leading book reviewer for the Anglo-Jewish press for many years. Author of books for children, he wrote <em>Boy of Cordova</em> (1934) about Moses ben Maimon, <em>Adventure on Manhattan Island</em> (1957) about Peter Stuyvesant and the Jews, and <em>A Jewish Child's Garden of Verses</em> (1940). He also wrote <em>Religious Parties in Israel</em> (1936) and <em>Laws Concerning Religion in the United States</em> (1950). Among his other books are <em>Ghetto Messenger</em> (1928), <em>Unpastoral Lyrics</em> (1930), <em>A Boy Called Rashi</em> (1940), <em>Judah Halevi in Granada</em> (1941), <em>The Boy of Wilna</em> (1941), and <em>West of the Nile: A Story of Saadia Gaon</em> (1942).				
bradley-burston		Burston	bradley.burston	http://www.haaretz.com/blogs/a-special-place-in-hell	"Bradley Burston (Hebrew: בראדלי בורסטון‎) is an American-born Israeli journalist. Burston is a columnist for Haaretz and senior editor of Haaretz.com. He writes a blog called ""<a href=""http://www.haaretz.com/blogs/a-special-place-in-hell"">A Special Place in Hell</a>""."				
simcha-daniel-burstyn		Burstyn	Simcha Daniel Burstyn (translation)	http://www.kibbutzlotan.com	Rabbi Simcha Daniel Burstyn is a rabbi, gardener, permaculturalist, teacher, singer, spiritual director, peace activist. He has been a member of Kibbutz Lotan for 22 years, the only kibbutz that is also an ecovillage. In the Kibbutz’s Center for Creative Ecology, Rabbi Simcha teaches courses in Peace and Social Justice and Jewish Approaches to the Environment.				
shmuel-butman		Butman	shmuel.butman	https://en.wikipedia.org/wiki/Shmuel_Butman	Rabbi Shmuel Menachem Butman (born 1944) is a Chabad rabbi in Crown Heights, Brooklyn, New York. He is the director of Lubavitch Youth Organization. He has served for many years as the director of the L'Chaim weekly magazine. After Rabbi Menachem Mendel Schneerson suffered a stroke, Butman emerged as one of the leading proponents of Chabad messianism.				
leonard-cahan		Cahan	leonard.cahan		Rabbi Leonard Cahan (1934-2018), originally from Philadelphia, Pennsylvania,  was the rabbi and then rabbi emeritus of Congregation Har Shalom in Potomac, Maryland. Ordained at JTS, he held pulpits in Detroit, Michigan, and Oakland, California. He was a Navy Chaplain from 1961-1990 and served in Quantico, Virginia and Japan, and retired as the rank of Commander. Rabbi Cahan also served on the Jewish Welfare Board from sometime in the ‘70s until 2016. In the early 1990s, he undertook a complete overhaul of Rabbi Jules Harlow's <em>Sim Shalom</em> (Rabbinical Assembly 1985), separating it into Shabbat &amp; Weekday volumes, which went to press in 1998. He also contributed substantially to reworking the 2014 JWB siddur into the edition published in 2017.				
cantors-assembly-of-america		Cantors Assembly of America	cantors-assembly-of-america	https://en.wikipedia.org/wiki/Cantors_Assembly	Cantors Assembly (CA) is the international association of ḥazzanim (cantors) affiliated with Conservative Judaism. Cantors Assembly was founded in 1947 to develop the profession of the ḥazzan, to foster the fellowship and welfare of ḥazzanim, and to establish a conservatory for ḥazzanim. The latter goal was realized in 1952 with the establishment of the Cantors Institute at the Jewish Theological Seminary of America. This Institute later developed into the H. L. Miller Cantorial School of the Jewish Theological Seminary of America.				
debra-cash		Cash	debra.cash		"Debra Cash is an award-winning writer and cultural worker whose liturgical work has been anthologized in Anita Diamant's popular books on weddings and mourning, in siddurim of the Reconstructionist and Reform movements, and has been included in life cycle ceremonies from Boston to Tasmania. Her first book, <em><a href=""https://www.blurb.ca/b/1185520-who-knows-one"">Who Knows One</a></em> (Hand Over Hand Press, 2010) is available on demand from Blurb. Her second, <em>The Bumblebee's Diwan</em>, is in progress."				
rene-cassin		Cassin	rene-cassin	https://en.wikipedia.org/wiki/René_Cassin	René Samuel Cassin (5 October 1887 – 20 February 1976) was a French jurist known for co-authoring the Universal Declaration of Human Rights and receiving the Nobel Peace Prize. Born in Bayonne to a Sephardi Jewish family, he grew up in Nice, where he attended the Lycée Masséna, and graduated with a bachelor's degree at 17. He matriculated at the University of Aix, studying political economics, constitutional history, and Roman law, and awarded distinctions in law, and a university degree with distinction, and a first prize in the competitive examinations in the faculty of law. In 1914 in Paris, he was awarded his doctorate in juridical science, economics, and politics. Cassin served in World War I in 1916 at the Battle of the Meuse. In one operation he led an attack on enemy positions but was gravely injured in the arm, side, and stomach by machine gun fire. A medic saved his life, but he only received surgical treatment ten days later at Antibes. He was awarded the Croix de Guerre for his actions, but was too gravely injured to return to active duty, and was mustered out as a war invalid. He formed the Union Fédérale, a leftist, pacifist organization for veterans and founded the French Federation of Disabled War Veterans in 1918 and until 1940 serving as its president and then honorary president. As French delegate to the League of Nations from 1924 to 1938, Cassin pressed for progress on disarmament and in developing institutions to aid the resolution of international conflicts. In April 1941, Cassin made a radio broadcast from London, addressing himself especially to French Jews from a secular viewpoint and reminding them of the full and equal protection France had always offered Jews since the Revolution. He exhorted them to pay back that debt in part by joining the forces of Free France. In May, the Vichy Regime stripped Cassin of his French citizenship, and in 1942 sentenced him to death in absentia. In 1945, Charles de Gaulle suggested Cassin, having done so much for the French people, also do something to help the Jewish people. Cassin became the president of the French-Jewish Alliance Israelite Universelle (AIU) which had previously been primarily dedicated to educating Sephardi Jews living under the rule of the Ottoman Empire according to a French modernist curriculum. As president of the AIU, Cassin worked with the American Jewish Committee and the Anglo-Jewish Association, to found the Consultative Council of Jewish Organisations, a network dedicated to building support for Cassin's platform of human rights from a Jewish perspective while the UN human rights system was in its early stages of development. Following World War Two, Cassin was assigned to the United Nations, helping to draft the Universal Declaration of Human Rights. Working from a list of rights elaborated by Canadian scholar and professor of law John Humphrey, Cassin produced a revised draft and expanded the text.  He served on the UN's Human Rights Commission and the Hague Court of Arbitration. He was also a member (1959–1965) and president (1965–1968) of the European Court of Human Rights.				
daniel-cayre		Cayre	daniel.cayre		Daniel J. Cayre is a founder of Kanisse: a Modern Sephardic + Mizrahi Community.				
daniel-cedarbaum		Cedarbaum	daniel.cedarbaum		Daniel G. Cedarbaum (d. 2 July 2021) was the Executive Director and President of The Mordecai M. Kaplan Center for Jewish Peoplehood.  Dan became the Director of Movement Growth Initiatives and Special Projects of the Jewish Reconstructionist Federation (JRF) in September 2008, having previously served for almost 20 years as a member of JRF’s Board of Directors.  He was also the JRF’s Acting Director of Individual Giving and staffed the JRF’s Chicago-area office. Dan worked professionally for the JRF through November 2010, when he left to start the Kaplan Center, together with Mel Scult, Eric Caplan and Jack Wolofsky. From 2002-2006, Dan was the President of the JRF, and a member of the Conference of Presidents of Major American Jewish Organizations.  In addition, Dan has served as a member of the Board of Governors of the Reconstructionist Rabbinical College and as a member of the Executive Committee and the Board of Trustees of the United Jewish Communities.  Dan has also been a member of the Board of Directors of the National Council of Synagogues, which is perhaps the leading national Jewish organization working in the area of interfaith dialogue and programming.				
cenozoicsynapsid		CenozoicSynapsid	CenozoicSynapsid	https://archiveofourown.org/users/CenozoicSynapsid/pseuds/CenozoicSynapsid	"CenozoicSynapsid is the pen name of a pseudonymous author on <a href=""https://archiveofourown.org"">Archive of Our Own</a>, a site for sharing fan-fiction."				
central-conference-of-american-rabbis		Central Conference of American Rabbis (CCAR)	central-conference-of-american-rabbis	https://en.wikipedia.org/wiki/Central_Conference_of_American_Rabbis	The Central Conference of American Rabbis (CCAR), founded in 1889 by Rabbi Isaac Mayer Wise, is the principal organization of Reform rabbis in the United States and Canada.				
sarah-chandler		Chandler	shamirpower		Sarah Shamirah Chandler is the CCO (Chief Compassion Officer) and team leader at the Jewish Initiative for Animals (JIFA) where she works to support Jewish institutions to establish meaningful food policies rooted in Jewish ethics and animal welfare.  Sarah holds a M.A. in Jewish Education and a M.A. in Hebrew Bible from the Jewish Theological Seminary, and a certificate in Non-Profit Management and Jewish Communal Leadership from Columbia University. She recently served as the Director of Earth Based Spiritual Practice for Hazon’s Adamah Farm and teaches, writes and consults on a national level on issues related to Judaism, the environment, mindfulness, food values, and farming.				
peng-chun-chang		Chang	peng-chun.chang	https://en.wikipedia.org/wiki/P._C._Chang	Peng Chun Chang, commonly known as P. C. Chang (simplified Chinese: 张彭春; traditional Chinese: 張彭春; pinyin: Zhāng Péngchūn; Wade–Giles: Chang1 P'eng2-ch'un1; 1892–1957), was a Chinese academic, philosopher, playwright, human rights activist, and diplomat. On the Universal Declaration of Human Rights drafting committee, he served both as an effective Asian delegate and also as a mediator when the negotiations reached a stalemate. He served as Vice-Chairman of the original UN Commission on Human Rights and Republic of China delegate to committee and played a pivotal role in its drafting of the Universal Declaration of Human Rights (UDHR) of 1948. He was born in Tianjin, China, and died at his home in Nutley, New Jersey.				
avraham-hyman-harlap		Charlap	אברהם היימאן חרלאפ	http://www.worldcat.org/identities/lccn-no2003-17448/	"<span lang=""he"">אברהם היימאן חרלאפ</span>, Abraham Hyman (Ḥayyim) Charlap (1862-1916) was a Jewish writer, scholar, educator, and translator active in the United States at the turn of the 20th century. Near the end of his life, he arranged new siddurim, the <em>Sidur Tifʼeret Yehudah</em> (1912) and <em>Siddur Sfath Emeth Hechodosh</em> (1916), collaborated on a scholarly dictionary with Alexander Harkavy (1911, 1914), translated the Tanakh into Yiddish with Simon Avseyewitz Neuhausen and Meir Letteris (1912), and created educational resources for younger students with Jakob Phillips (1911). After he died, his name was remembered for a blessing in haggadot, siddurim, and other works published posthumously by the Hebrew Publishing Company."			http://opensiddur.org/wp-content/avatars/abraham-hyman.ḥarlap.png	
robert-henry-charles		Charles	Robert Henry Charles (translation)	https://en.wikipedia.org/wiki/Robert_Charles_(scholar)	"Robert Henry (R. H.) Charles, FBA (Cookstown, 6 August 1855–Westminster, 1931) was an Irish Anglican theologian, biblical scholar, professor, and translator from Northern Ireland. He is known particularly for his English translations of numerous apocryphal and pseudepigraphal works and editions, including the Book of Jubilees (1895), the Apocalypse of Baruch (1896), the Ascension of Isaiah (1900), the Book of Enoch (1906), and the Testaments of the Twelve Patriarchs (1908), which have been widely used. He wrote the articles in the eleventh edition of Encyclopædia Britannica (1911) attributed to the initials ""R. H. C."" He was born in Cookstown, County Tyrone, on 6 August 1855 and educated at the Belfast Academy, Queen's College, Belfast, and Trinity College, Dublin, with periods in Imperial Germany and Switzerland. He gained a D.D. and became Professor of Biblical Greek at the Trinity College. In 1906, he was elected Fellow of the British Academy and four years later he was appointed Fellow of the Merton College, Oxford. He also became Archdeacon of Westminster in 1919, serving until his death in 1931. He is buried in Westminster Abbey."				
jacob-chatinover		Chatinover	Jacob Chatinover (translation)	http://jacob.chatinover@gmail.com	"Jacob Chatinover is a Jewish environmental educator.
He studied Near Eastern &amp; Judaic studies at Brandeis Univ., where he focused on translation, especially poetic and liturgical translation.
He is pursuing rabbinic ordination at Hebrew College in Newton, MA.

If you know of a work that is beautiful but inaccessible to English-speakers, let him know!"				
lara-chausow		Chausow	lara.chausow		Lara is a data analyst for the federal government				
yuval-cherlow		Cherlow	yuval.cherlow	https://en.wikipedia.org/wiki/Yuval_Cherlow	Yuval Cherlow (born 1957) is a Modern Orthodox rabbi and posek. He is Rosh Yeshiva of Yeshivat Hesder Amit Orot Shaul in Kfar Batya, Raanana, Israel. Cherlow was one of the founders of Tzohar, an organization of religious Zionist Orthodox rabbis in Israel.				
yehonatan-chipman		Chipman	yehonatan.chipman	http://hitzeiyehonatan.blogspot.com	"Rabbi Yehonatan Chipman is a Jerusalem-based translator and scholar of Jewish texts who has for years been writing a weekly commentary on the Torah portion published on his blog, Hitzei Yehonatan. He is a contributor to the book, <a href=""http://www.jewishlights.com/page/product/978-1-58023-434-4"" target=""_blank"" rel=""noopener"">Jewish Mysticism and the Spiritual Life: Classical Texts, Contemporary Reflections</a> (2013). In 2000, Rabbi Chipman gave smiḥa to Rabbi Evelyn Goodman-Thau, the first female rabbi of Austria."			http://opensiddur.org/wp-content/avatars/yehonatan-chipman.gif	
daniel-chorny		Chorny	daniel.chorny		Daniel Chorny is a rabbi and Jewish educator at Louis B. Silver Religious School in Pasadena, California. In 2014, he was ordained at the Jewish Theological Seminary of America.				
hillary-chorny		Chorny	Rabbi Cantor Hillary Chorny	http://www.tbala.org/page.cfm?p=2454	"Rabbi Cantor Hillary Chorny completed her cantorial investiture, rabbinical ordination, and a Masterʼs degree in Sacred Music at the Jewish Theological Seminary before joining the staff of <a href=""http://www.tbala.org"">Temple Beth Am</a> in August, 2014. Raised in San Diego, CA, she grew up with a deep attachment to the Conservative Jewish community. In 2008, Hillary graduated American University in Washington, D.C. with a B.A. in Jewish studies and a minor in vocal jazz performance. After working as a Judaics instructor and music director in various Jewish communities and camps, Hillary pursued her dream of becoming a cantor. In time, she was inspired by her teachers and family to also pursue the rabbinate. She and her husband, Rabbi Daniel Chorny, met in Israel, and continue to enjoy learning together."				
alex-cicelsky		Cicelsky	Alex Cicelsky (translation)		Alex Cicelsky is a researcher and educator in energy efficient construction, natural materials in buildings and sustainable solutions for shelter, food, energy, water and waste at the Center for Creative Ecology, Israel.				
aryeh-cohen		Cohen	Rabbi Dr. Aryeh Cohen	http://www.justice-in-the-city.com/	"</a>Aryeh Cohen the author of the book <em><a title=""Justice in the City: The Book"" href=""http://www.justice-in-the-city.com/?page_id=9"">Justice in the City: An Argument from the Sources of Rabbinic Judaism</a></em> is a professor, a social justice activist, a rabbi and a lecturer. He teaches all things Rabbinic Literature (Mishnah, Talmud, midrash) and social justice at the <a href=""http://ziegler.aju.edu/"">Ziegler School for Rabbinic Studies</a> of the American Jewish University. Prof. Cohen is a founder and member of the <a href=""http://www.shtibl.com"">Shtibl Minyan</a>, and a board member of <a href=""http://truah.org/"">T’ruah: The Rabbinic Call for Human Rights</a>,  and <a href=""http://cluela.org"">CLUE-LA</a>.</p>"				
danny-cohen		Cohen	danny.cohen	http://www.thelivingheart.life	"Danny graduated from the Wharton Business School at the University of Pennsylvania, where he began to connect with peers confused about their true direction and disconnected from the inner compass of their emotional and spiritual lives. He realized a calling in meeting people in their place of searching, struggling, and reckoning, helping them find their way to a life of radiance, soulfulness, emotional balance, and relational intimacy. In the years hence, he made it his life's work to walk that path and know it well, finding his own way from depression to a life of heartful presence and well-being, and leading to an exploration of a wide range of fields and intensive meditation and spiritual practice. In addition, Danny pursued study of Torah and wisdom in a variety of yeshivot and institutions in Israel, the U.S., India, Nepal, and Mexico, as well as through the modem worlds of psychology/psychotherapy and transformative change work, and grounded in daily practice of meditation, prayer, and regular intensive retreat. The founding director of <a href=""http://orhalev.org"">Or HaLev Center for Jewish Spirituality and Meditation</a>, Danny now devotes himself to teaching, a role he is delighted and privileged to fulfill. He is profoundly grateful to live a life colored by deep listening, heartfulness, cunosity, humor, and love of people. He teaches meditation, NVC, and works one-on-one with people seeking healing and transformation."				
dovidm-cohen		Cohen	dovidm.cohen	http://rabbidovidmcohen.com/about/	Rabbi Dovid M. Cohen is the Director of Community Engagement, Strategy and Development for YACHAD, a flagship program of the Orthodox Union (OU) dedicated to addressing the needs of Jewish individuals with disabilities and ensuring their inclusion in every aspect of Jewish life. He is also the Rabbi of Congregation Ohr Torah in North Woodmere, NY. Rabbi Cohen is a Dayan for the Beis Din of America. He maintains a private counseling practice guiding people with relationship issues. He previously served as the Rabbi of the Young Israel of the West Side from 2006 until 2015. He spent five years in Fair Lawn, NJ as assistant to Rabbi Benjamin Yudin at Shomrei Torah. Rabbi Cohen served a Mashgiach Ruchani at Yeshiva University and Stern College for Women and also directed the Honors Program at the Lander College for Women. Rabbi Cohen received his BA from Yeshiva University in 1994, graduating with honors in History. He was ordained by the Rabbi Isaac Elchanon Theological Seminary (RIETS) in 1997 and obtained a law degree from Columbia Law School in 1999 and a Masters in counseling from University of North Texas in 2007.				
emmy-cohen		Cohen	emmy.cohen		"Emmy Cohen studies Religion at American University and is interested in women's roles in religion.
Emmy grapples with defining the word ""holy."""				
martin-cohen		Cohen	martin.cohen	https://www.srjc.org/rabbi-martin-s-cohen	Martin Samuel Cohen was born and raised in New York City, where he received his B.A. summa cum laude from the City University of New York and where he was ordained as rabbi at the Jewish Theological Seminary in 1978. In addition to his ordination, Rabbi Cohen earned a Ph.D. in the history of ancient Judaism from JTS, which degree was awarded to him in 1982. The recipient of post-doctoral fellowships at the Hebrew University in 1983 and at Harvard University in 1993, Rabbi Cohen has also lectured on the history of religion at Hunter College of the City University of New York and taught Bible and Talmud both at the Jewish Theological Seminary of America in New York and at the Institute for Jewish Studies attached to the University of Heidelberg in Germany. In 1986, Rabbi Cohen left Europe for Canada, where he accepted the pulpit of the Beth Tikvah Congregation in Richmond, British Columbia. In 1999, he left Canada to assume the pulpit of Congregation Eilat in Mission Viejo, California, the position he left in 2002 to become the rabbi of the Shelter Rock Jewish Center in Roslyn, New York, where he has now completed thirteen years of service. In addition to his work as teacher and rabbi, Rabbi Cohen is an author and has published two scientific studies in the history of pre-kabbalistic Jewish mysticism, four novels and four books of essays, including the Hebrew-language <em>Sefer Ha‘ikarim Livnei Zemanenu</em>, as well as his own 2004 edition of the Book of Psalms, called Our Haven and our Strength: The Book of Psalms in New Translation. More recently, Rabbi Cohen has published the two-volume prayer book <em>Siddur Tzur Yisrael, Zot Nechemati</em> for the house of mourning, a children’s book called <em>Riding the River of Peace</em>, and <em>The Boy on the Door on the Ox</em>, an exploration of the relationship between Torah study and service in the congregational rabbinate. From 1997 to 2000, he served as chairman of the Publications Committee of the Rabbinical Assembly and has for the last dozen years chaired the editorial board of the quarterly journal, Conservative Judaism. Most recently, Rabbi Cohen served as senior editor of the 2012 landmark volume defining Conservative Jewish life, <em>The Observant Life: The Wisdom of Conservative Judaism for Contemporary Jews</em>, and is currently at work on his own Torah translation and commentary.				
tamara-cohen		Cohen	tamara.cohen	https://jwa.org/encyclopedia/article/cohen-tamara	A writer and educator, Tamara Cohen served as program director of Ma’yan for many years and edited their feminist haggadah, <em>The Journey Continues</em>. She also collaborated with the Jewish Women’s Archive to create the first Women of Valor posters, and created a women’s Omer calendar in conjunction with the women’s studies department at the Reconstructionist Rabbinical College. Through Project Kesher, she worked as an educator with women in the former Soviet Union. She is a cofounder of Jewish Activist Gays and Lesbians and serves as the director of multicultural and diversity affairs at the University of Florida.				
romi-cohn		Cohn	romi.cohn	http://www.jewishpartisans.org/partisans/romi-cohn	"Avraham Hakohen Cohn — Romi was a nickname he adopted in America, and he was usually called Rabbi Cohn — was born in Pressburg, now known as Bratislava, the capital of what is now Slovakia, on March 10, 1929. He was one of seven children. When the Germans marched into Czechoslovakia and deported Jews to concentration camps, his family managed to spirit him across the border to Hungary. His mother, two brothers and two sisters perished in the camps. He studied at a Hasidic yeshiva until 1944, when the Germans occupied Hungary and deported tens of thousands of Jews to Auschwitz. He managed to slip back into Czechoslovakia and joined up with a partisan brigade battling the retreating Germans. With the German defeat, Mr. Cohn rejoined his father and two sisters in Pressburg. After the war, Mr. Cohn made his way to the United States and became wealthy developing thousands of single-family homes on Staten Island. He also turned himself into an expert mohel, performing thousands of circumcisions and writing scholarly articles. He even set up an operating theater in his Staten Island home to circumcise adult Russian Jews who had not been able to undergo the ritual as infants because of Soviet strictures. He described his wartime experiences in an autobiography, <em>The Youngest Partisan</em> published in 2001. (via <a href=""https://www.nytimes.com/2020/03/27/obituaries/romi-cohn-dead-coronavirus.html"">his obituary</a> in the New York Times)"				
colgate-divinity-school-faculty		Colgate-Rochester Divinity School	Members of the Faculty of Colgate Divinity School	https://en.wikipedia.org/wiki/Colgate_Rochester_Crozer_Divinity_School	The Colgate Rochester Crozer Divinity School is a seminary in Rochester, New York affiliated with the American Baptist Churches USA. The school is progressive and ecumenical in theology, with Baptists, United Methodists, Presbyterians, Episcopalians and members of other denominations on its faculty and in its student body. The school also shares a partnership with Bexley Hall Seabury-Western Theological Seminary, an Episcopal seminary. It is accredited by the Commission on Accrediting of the Association of Theological Schools. Notable faculty include Walter Rauschenbusch (1861–1918), Baptist pastor and theologian integral to the Social Gospel movement, and Conrad Henry Moehlman (1879–1961), church historian. Notable graduates include Harry Emerson Fosdick (1878-1969), one of the most prominent liberal ministers of the early 20th century.				
comyakowenko		comYakowenko (translation)	comYakowenko (translation)		comYakowenko is a Yiddishist in Kyiv, Ukraine.				
united-states-congressional-record		Congressional Record	United-States.Congressional-Record	https://en.wikipedia.org/wiki/Congressional_Record	"The Congressional Record is the official record of the proceedings and debates of the United States Congress, published by the United States Government Printing Office and issued when Congress is in session. Indexes are issued approximately every two weeks. At the end of a session of Congress, the daily editions are compiled in bound volumes constituting the permanent edition. Statutory authorization for the Congressional Record is found in Chapter 9 of Title 44 of the United States Code. (<a href=""https://en.wikipedia.org/wiki/Congressional_Record"">wikipedia</a>)"				
consistoire-central-israelite-de-france		Consistoire central israélite de France	consistoire-central-israelite-de-france	https://fr.wikipedia.org/wiki/Consistoire_central_israélite_de_France	The Consistoire central israélite de France (English: Israelite Central Consistory of France) is an institution originally created by Napoleon I by the Imperial Decree of 17 March 1808 to administer Jewish worship and congregations in France.  Given Napoleon's political emancipation of the Jews, he wanted a representative body that could deal with his government. He also directed the establishment of regional Israelite Consistories, subordinate to the Central Consistory, across France and Italy. The consistories were ranked as <em>établissements publics du culte</em> (public-law corporations of worship). In its first year, the consistory was led by Rabbi David Sinzheim, who headed the Assembly of Notables and the Grand Sanhedrin that preceded it in organization.				
harry-coopersmith		Coopersmith	harry.coopersmith	https://hymnology.hymnsam.co.uk/h/harry-coopersmith	Harry Coopersmith (b. Russia, 2 December 1902; d. Santa Barbara, California, 31 December 1975) was a pioneer in the dissemination of Jewish music in America.  Coopersmith studied music education at Teachers’ College, Columbia University (BS, 1924; MA, 1933). He was music director at the Chicago Bureau of Jewish Education (1926-1940) and the Anshe Emet Synagogue.				
norman-corwin		Corwin	norman.corwin	https://en.wikipedia.org/wiki/Norman_Corwin	Norman Lewis Corwin (May 3, 1910 – October 18, 2011) was a Jewish-American writer, screenwriter, producer, essayist and teacher of journalism and writing. His earliest and biggest successes were in the writing and directing of radio drama during the 1930s and 1940s.				
menachem-creditor		Creditor	menachem.creditor	http://rabbicreditor.blogspot.com	"Rabbi Menachem Creditor serves as the Pearl and Ira Meyer Scholar in Residence at UJA-Federation New York and was the founder of Rabbis Against Gun Violence. A frequent speaker in communities and campuses around the United States and Israel with over 1 million views of his online videos and essays, he was named by Newsweek as one of the fifty most influential rabbis in America. His 22 books and 6 albums of original music include the global anthem ""Olam Chesed Yibaneh"" and the anthologies ""When We Turned Within"" and ""None Shall Make Them Afraid."" He has been involved in the leadership of American Jewish World Service, AIPAC, the Rabbinical Assembly, and the One America Movement, an organization dedicated to bringing together Americans of different faiths and opinions. He and his wife Neshama Carlebach live in New York, where they are raising their five children."			http://opensiddur.org/wp-content/avatars/menachem-creditor.jpg	
solomon-da-silva-solis-cohen		da Silva Solis-Cohen	Solomon da Silva Solis-Cohen (translation)	http://www.jewishencyclopedia.com/articles/4507-cohen-solomon-da-silva-solis	"Dr. Solomon Solis-Cohen (1857-1948) born in Philadelphia, was one of the founders of the Jewish Publication Society of America, and a member of its publication committee. A president of the Young Men's Hebrew Association of Philadelphia, he was also one of the founders and a member of the first board of editors of ""The American Hebrew""; and a founder and trustee of the Jewish Theological Seminary Association. He was a member of the board of trustees of Gratz College, Philadelphia, president of the Philadelphia County Medical Society (1898-99), and recorder of the Association of American Physicians."				
moshe-shmiel-dascola		Dascola	moshe-shmiel.dascola		Moshe Shmie'el Dascola was a scribe of the 14th and early 15th centuries. We are indebted to him for preserving the medieval Megillat Yehudit.				
meyer-david		David	meyer.david		"Meyer (Michael) I. David, ""a member of a prominent Baghdadi family from Bombay, was notable among Baghdadi Jews in India for taking an active political interest in Indian independence. He promoted the idea of dominion status as a means for India to achieve self-governance. He met with Gandhi and discussed his idea to establish a Welfare of India League (also referred to as the Good Will Movement and the Progressive League). The league played a critical role in negotiating a compromise after Gandhi was arrested in 1932 and began a hunger strike in protest of British authorities' decision to award the Dalits (the ""untouchable"" castes) separate electoral representation. Meyer David also addressed Dalit social welfare--considered by Gandhi to be critical in his vision of an independent India--in other contexts. In 1932, David proposed a scheme to start a scholarship fund for Dalit students. He envisioned that higher-caste Hindus would financially support Dalit students; the amount of 500 rupees could cover the higher education of one Dalit student for five years, while half of that could cover high-school education. The idea won Gandhi's approval in addition to that of the All-India Depressed Classes Association, which represented Dalits. The David Scheme, as it came to be known, continued for a few years but ultimately folded when funds could not be successfully solicited from other donors."" (from Elizabeth Imber's ""<a href=""https://www.jstor.org/stable/10.2979/jewisocistud.23.2.03?seq=1"">A Late Imperial Elite Jewish Politics: Baghdadi Jews in British India and the Political Horizons of Empire and Nation</a>"") Later, in 1944 with co-author Dr. Christian Richard, David wrote an anti-fascist ""Declaration of Interdependence"" which won the interest and attention of the historian, Will Durant and was ultimately read into the Congressional Record."				
joshua-davidson		Davidson	joshua.davidson	https://www.emanuelnyc.org/2018/10/05/rabbi-joshua-m-davidson/	Rabbi Joshua M. Davidson is the senior rabbi of Congregation Emanu-El of the City of New York. From 2002 through 2013 he served as senior rabbi of Temple Beth El of Northern Westchester in Chappaqua, New York, and from 1997 to 2002 as assistant and associate rabbi of Central Synagogue in New York City, advising that synagogue’s award-winning Social Action Committee. A graduate of Princeton University and ordained by the Hebrew Union College-Jewish Institute of Religion, Rabbi Davidson’s work has included anti-death penalty advocacy, gay/lesbian inclusion and interfaith dialogue. In 2009, he was honored for his interfaith efforts by the Westchester Jewish Council and the American Jewish Committee, on whose New York board he sits. Rabbi Davidson serves on the board of directors of the Kavod Tzedakah Collective, A Partnership of Faith in New York City. He also is a member of the Hebrew Union College Board of Governors, HUC President’s Rabbinic Council and the Clergy Advisory Board of Interfaith Impact of New York State. He is a past president of both the Westchester Board of Rabbis and the Chappaqua Interfaith Council. From 2001 to 2006, he served as chair of the Central Conference of American Rabbis’ Committee on Justice, Peace and Religious Liberties and vice-chair of the Commission on Social Action of Reform Judaism. He also has chaired the Commission’s task force on Israel and world affairs. He is a past board member of Rabbis for Human Rights-North America. Rabbi Davidson holds a Corkin Family Fellowship at the Herbert D. Katz Center for Advanced Judaic Studies at the University of Pennsylvania and Clal-The National Jewish Center for Learning and Leadership. His articles have appeared in The Jewish Week, Commentary Magazine, The New York Post and The Huffington Post; and he is a contributing writer in Rabbi Lawrence Hoffman’s Prayers of Awe series.				
